code,name,week,pop,deaths.1519,AllCause.20,COVID.20,Other.20,allexcess,excessrate_sum,othexcess_sum,excessrate_mean,othexcess_mean,COVIDrate
E07000127,West Lancashire,25,113949.0,1218.4000000000003,792.0,117.0,675.0,134.80000000000004,118.29853706482716,17.8,1.7179402693974994,0.24545454545454545,1.5025328981572557
E07000128,Wyre,25,111223.0,1510.8,876.0,115.0,761.0,54.60000000000004,49.09056580023913,-60.399999999999984,1.1252305292207105,-0.46060606060606046,1.5393589564399555
E07000129,Blaby,25,100421.0,849.4000000000002,524.0,80.0,444.0,58.599999999999994,58.35432827794981,-21.4,0.8419101039170543,-0.27575757575757565,1.1165116073451984
E07000130,Charnwood,25,182643.0,1481.3999999999994,899.0,119.0,780.0,103.80000000000001,56.832180811747534,-15.200000000000003,0.7781366497550531,-0.32121212121212117,0.9540054874395636
E07000131,Harborough,25,92499.0,812.8000000000001,544.0,57.0,487.0,100.39999999999999,108.54171396447532,43.39999999999999,1.8378577065698014,0.8363636363636364,0.9336710274017701
E07000132,Hinckley and Bosworth,25,112423.0,1044.9999999999995,680.0,101.0,579.0,112.79999999999997,100.33534063314445,11.800000000000008,1.385460054949394,0.1636363636363637,1.2399058857523766
E07000133,Melton,25,51100.0,476.1999999999999,286.0,28.0,258.0,22.8,44.618395303326864,-5.1999999999999975,0.8361501512186449,0.003030303030302979,0.8302200083021993
E07000134,North West Leicestershire,25,102126.0,906.8000000000002,567.0,65.0,502.0,73.0,71.48032822200025,7.99999999999999,0.8248871417897913,-0.12727272727272726,0.9495103790386091
E07000135,Oadby and Wigston,25,57056.0,590.6000000000003,382.0,64.0,318.0,58.0,101.65451486259106,-6.000000000000001,1.465864477642379,-0.10303030303030301,1.6464419857577446
E07000136,Boston,25,69366.0,764.8000000000001,427.0,35.0,392.0,7.800000000000007,11.244702015396538,-27.200000000000017,0.37132854363197704,-0.27272727272727265,0.7644999427717184
E07000137,East Lindsey,25,140741.0,1981.0000000000011,1085.0,51.0,1034.0,9.199999999999982,6.536830063734086,-41.800000000000026,0.2648320480366579,-0.36969696969697,0.527510989991717
E07000138,Lincoln,25,99039.0,914.6000000000003,498.0,27.0,471.0,1.999999999999993,2.019406496430701,-25.000000000000007,0.3763439379711759,-0.03636363636363649,0.41306041972446134
E07000139,North Kesteven,25,115985.0,1203.9999999999998,694.0,43.0,651.0,27.6,23.79618054058714,-15.399999999999995,0.5225336087085451,-0.04545454545454533,0.5617236293616861
E07000140,South Holland,25,93980.0,1084.4000000000005,624.0,56.0,568.0,41.80000000000002,44.47754841455626,-14.19999999999998,0.8609181837528294,-0.024242424242424256,0.8867134851386822
E07000141,South Kesteven,25,141853.0,1431.2000000000005,785.0,69.0,716.0,1.0000000000000027,0.7049551296060192,-67.99999999999997,0.0683592852951275,-0.903030303030303,0.7049551296059999
E07000142,West Lindsey,25,94869.0,1010.9999999999998,543.0,23.0,520.0,-14.0,-14.75719149564137,-36.999999999999986,0.01277678917371553,-0.3363636363636363,0.3673326887443197
E07000143,Breckland,25,139329.0,1614.8,913.0,91.0,822.0,18.00000000000001,12.919062076093269,-72.99999999999999,0.5154575272784694,-0.6454545454545454,0.9787168239464598
E07000144,Broadland,25,129464.0,1467.2,816.0,71.0,745.0,7.799999999999998,6.024840882407454,-63.19999999999999,0.20363681304174427,-0.7969696969696968,0.8192285582139132
E07000145,Great Yarmouth,25,99370.0,1171.0000000000005,622.0,49.0,573.0,-19.999999999999993,-20.126798832645648,-69.00000000000001,-0.10978253908715785,-0.8212121212121212,0.7166360190411705
E07000146,King's Lynn and West Norfolk,25,151811.0,1792.8000000000004,1090.0,142.0,948.0,114.00000000000001,75.09337268050398,-28.00000000000002,1.2415756992895663,-0.23636363636363666,1.3972716873033713
